F,,,,,DENIED,,,,Aprobación Final / Final approval,
,,,,,SUSPENDED,,,       ANTI-CHEAT,,
,,,,,OBSERVATION,,, DESKTOP RECORD,,
,,,,,OK,,, WEBCAM RECORD,,
,,,,,,,,,,
,Team name,Nickname/pf steam,Steam64 ID/ ban list,l4d2center linkview,Status,VIO,Region,Anticheat/Record,Pepinis,MK
,Los ceregrizzes,Uzz ,76561199017002607,X,OK,,SA,       ANTI-CHEAT,,
,,Cervecero,76561199529772882,X,OK,,,       ANTI-CHEAT,,
,,Cvvv ,76561199196035525,X,OK,,,       ANTI-CHEAT,,
,,Rg,76561199798441961,No profile,OK,,,       ANTI-CHEAT,,
,,Donk,76561199184008298,No profile,OK,,,       ANTI-CHEAT,,
,,Guest,76561199150920830,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Hakimi,Hinako,76561198946561759,X,OK,,CN,       ANTI-CHEAT,,
,,sword,76561199024040529,X,OK,,,       ANTI-CHEAT,,
,,Star,76561198054262973,X,OK,,,       ANTI-CHEAT,,
,,Match121,76561199181562903,X,OK,,,       ANTI-CHEAT,,
,,Vertin,76561199168046934,X,OK,,,       ANTI-CHEAT,,
,,Liyuu,76561198133791161,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Me end die ,limpid,76561198156249423,X,OK,,CN,       ANTI-CHEAT,,
,,Alyce,76561198806874276,X,OK,,,       ANTI-CHEAT,,
,,aqua,76561198118050158,X,OK,,,       ANTI-CHEAT,,
,,sheng,76561198040453752,X,OK,,,       ANTI-CHEAT,,
,,yangya,76561198321916035,X,OK,,,       ANTI-CHEAT,,
,,marblue,76561198201275706,,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,blue fish,ovo,76561199365819687,X,OK,,CN,       ANTI-CHEAT,,
,,GoldFish,76561199234351648,X,OK,,,       ANTI-CHEAT,,
,,tYin,76561199255049786,X,OK,,,       ANTI-CHEAT,,
,,Tang,76561199123955195,X,OK,,,       ANTI-CHEAT,,
,,blue,76561199025512657,Not Found,OK,,,       ANTI-CHEAT,,
,,Vermilion Bird,76561199187476867,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Labubu,Ne1vo,76561199380514235,x,OK,,CN,       ANTI-CHEAT,,
,,Aim,76561199444139427,x,OK,,,       ANTI-CHEAT,,
,,Niumo,76561199201885440,x,OK,,,       ANTI-CHEAT,,
,,稀翁玉,76561199526909948,x,OK,,,       ANTI-CHEAT,,
,,我配不上宫水三叶,76561198713200706,Not Found,OK,,,       ANTI-CHEAT,,
,,静心,76561198398853210,x,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Bear Ridge,铁肺女王ACAね,76561198211531447,X,OK,,CN,       ANTI-CHEAT,,
,,Yousa,76561198295896283,X,OK,,,       ANTI-CHEAT,,
,,Asary ,76561198274777962,X,OK,,,       ANTI-CHEAT,,
,,Blue ,76561198994206989,X,OK,,,       ANTI-CHEAT,,
,,Shivpfs ,76561198015393820,X,OK,,,       ANTI-CHEAT,,
,,Sakura,76561199170720826,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,R.O.K.A.,46,76561198287016739,X,OK,,KR,       ANTI-CHEAT,,
,,LOVE,76561198870959431,NOT found,OK,,,       ANTI-CHEAT,,
,,ZELL,76561198060465331,X,OK,,,       ANTI-CHEAT,,
,,cong,76561199084654059,X,OK,,,       ANTI-CHEAT,,
,,Rikka,76561198160947932,X,OK,,, DESKTOP RECORD,,
,,Stay ,76561199103804646,X,OK,,, WEBCAM RECORD,,
,,,,,,,,,,
,Zanshin,Ctrl ,76561199232436210,X,OK,,KR,       ANTI-CHEAT,,
,,STB ,76561198014752475,X,OK,,,       ANTI-CHEAT,,
,,Yenicall ,76561198120168192,X,OK,,,       ANTI-CHEAT,,
,,Kago,76561198901784543,X,OK,,,       ANTI-CHEAT,,
,,Koto,76561198070875673,X,OK,,,       ANTI-CHEAT,,
,,Sync,76561198074629014,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Zenith,Eddy,76561199706000493,X,OK,,SA,       ANTI-CHEAT,,
,,santos,76561198845757241,X,OK,,,       ANTI-CHEAT,,
,,Soa,76561199019604309,X,OK,,,       ANTI-CHEAT,,
,,Fire,76561198798553542,X,OK,,,       ANTI-CHEAT,,
,,Bruno,76561199365718597,X,OK,,,       ANTI-CHEAT,,
,,Evil Megasor,76561199655623505,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Macacolândia ,inc ,76561198060690576,X,OK,,BR,       ANTI-CHEAT,,
,,Why ,76561198055718285,X,OK,,,       ANTI-CHEAT,,
,,Finn ,76561198053741663,X,OK,,,       ANTI-CHEAT,,
,,Vorkys,76561199248670342,X,OK,,,       ANTI-CHEAT,,
,,Sacii,76561199840839030,X,OK,,,       ANTI-CHEAT,,
,,Zenk ,76561198372057945,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,FႮᎡᏆᎪ ᎡϴᎫᎪ,FЯ Fergamer,76561199530196077,X,OK,,SA,       ANTI-CHEAT,,
,,Jos ,76561199129468489,X,OK,,,       ANTI-CHEAT,,
,,^^^^^^^^ ,76561199078493453,X,OK,,,       ANTI-CHEAT,,
,,brytiago ,76561199060597369,X,OK,,,       ANTI-CHEAT,,
,,Acost ,76561199129534388,X,OK,,,       ANTI-CHEAT,,
,,333 ,76561199042633955,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Ass4ult,Lycan,76561198176022413,X,OK,,SA,       ANTI-CHEAT,,
,,Wols,76561198285859588,X,OK,,,       ANTI-CHEAT,,
,,Lang,76561198048001115,X,OK,,,       ANTI-CHEAT,,
,,icer joswh,76561198425019373,X,OK,,,       ANTI-CHEAT,,
,,Cholon,76561199400813776,X,OK,,,       ANTI-CHEAT,,
,,Ayce    ,76561198353372264,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,tayutama,b7,76561199091984069,X,OK,,CN/AS,       ANTI-CHEAT,,
,,Kiss ,76561199046743279,X,OK,,,       ANTI-CHEAT,,
,,ra1nb0w ,76561199361232241,X,OK,,,       ANTI-CHEAT,,
,,小小安妮,76561198415932236,Not found,OK,,,       ANTI-CHEAT,,
,,diejoubu ,76561198829167738,X,OK,,,       ANTI-CHEAT,,
,,Kai ,76561199379554212,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Prime,Eleman,76561199533082785,X,OK,,EU,       ANTI-CHEAT,,
,,Tansex,76561199048276979,X,OK,,,       ANTI-CHEAT,,
,,ChebapEater,76561198279172923,X,OK,,,       ANTI-CHEAT,,
,,Benjamin,76561199102096559,X,OK,,,       ANTI-CHEAT,,
,,Kutu,76561199199093584,X,OK,,,       ANTI-CHEAT,,
,,Artemisssolo,76561199439736786,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Lose With Perfection,Vergueta777,76561199068498230,X,OK,,NA/SA,       ANTI-CHEAT,,
,,Twilight,76561199376183363,X,OK,,,       ANTI-CHEAT,,
,,Canonet,76561199093522598,X,OK,,,       ANTI-CHEAT,,
,,Edimiau,76561199093144521,X,OK,,,       ANTI-CHEAT,,
,,KiroV,76561199016831155,Not found,OK,,, WEBCAM RECORD,,
,,77,76561199063380275,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,The Visión,Xanes,76561199156727145,X,OK,,NA/SA,       ANTI-CHEAT,,
,,March,76561198147581338,X,OK,,,       ANTI-CHEAT,,
,,Yasuri Yalasa,76561199768072962,X,OK,,,       ANTI-CHEAT,,
,,Caine,76561198868789956,X,OK,,,       ANTI-CHEAT,,
,,Michi,76561199095138072,X,OK,,,       ANTI-CHEAT,,
,,∆xeeel,76561199376104024,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Ice blood,empilao,76561199076501992,X,OK,,SA,       ANTI-CHEAT,,
,,p7,76561199268608692,X,OK,,,       ANTI-CHEAT,,
,,Kzin' Tny,76561199151648423,X,OK,,,       ANTI-CHEAT,,
,,termi,76561198277102746,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,,CeFfe,76561198798905999,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,SLAUGHTER,Razor,76561198823075822,X,OK,,SA,       ANTI-CHEAT,,
,,Dustburn,76561198185371227,X,OK,,,       ANTI-CHEAT,,
,,Dust3r,76561199049091054,X,OK,,,       ANTI-CHEAT,,
,,tryhardermf,76561199375920459,X,OK,,,       ANTI-CHEAT,,
,,Nan,76561198993076193,X,OK,,,       ANTI-CHEAT,,
,,,,,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,Rapstars,7sven ,76561199218534684,X,OK,,SA,       ANTI-CHEAT,,
,,Smark_FT,76561199143005892,X,OK,,,       ANTI-CHEAT,,
,,Mx,76561199218312370,X,OK,,,       ANTI-CHEAT,,
,,Fernins ,76561198813152217,X,OK,,,       ANTI-CHEAT,,
,,ihs,76561199093141319,X,OK,,,       ANTI-CHEAT,,
,,zo ,76561199093474385,X,OK,,, DESKTOP RECORD,,
,,,,,,,,,,
,shindeN,Tafur.,76561199093354918,X,OK,,SA,       ANTI-CHEAT,,","
,,Karma,76561199231021124,X,OK,,,       ANTI/Desktop,,
,,www,76561199367220675,X,OK,,,       ANTI-CHEAT,,
,,Zhask,76561199055645639,X,OK,,,       ANTI-CHEAT,,
,, Lmo.4 ♪,76561198813575466,X,OK,,,       ANTI-CHEAT,,
,,B1t.,76561199071097958,X,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,兄弟们，有队名吗？ (PP),pp?,76561198263342292,X,OK,,CN,       ANTI-CHEAT,,
,,cc?,76561198402997709,not found,OK,,,       ANTI-CHEAT,,
,,ii?,76561198452454938,X,OK,,,       ANTI-CHEAT,,
,,MM?,76561198361997689,Not found,OK,,,       ANTI-CHEAT,,
,,SS?,76561198274364978,X,OK,,,       ANTI-CHEAT,,
,,bb?,76561198818761405,Not found,OK,,,       ANTI-CHEAT,,
,,,,,,,,,,
,THE LOST,qhl,76561199177534028,X,OK,,EU/NA/AS,       ANTI-CHEAT,,
,,flames,76561198438886253,X,OK,,,       ANTI-CHEAT,,
,,fray,76561198047658582,X,OK,,,       ANTI-CHEAT,,
,,wiz,76561198799712547,X,OK,,,       ANTI-CHEAT,,
,,Grizzly,76561198977047216,X,OK,,,       ANTI-CHEAT,,
